State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Nebraska,97463.0,1.1,0.9,1.4,<10,Yes,2000,Medicaid
Nebraska,105601.0,1.1,0.9,1.3,<10,Yes,2001,Medicaid
Nebraska,112447.0,1.2,1.0,1.4,<10,Yes,2002,Medicaid
Nebraska,105068.0,1.5,1.3,1.8,<10,Yes,2003,Medicaid
Nebraska,108382.0,1.9,1.6,2.1,<10,Yes,2004,Medicaid
Nebraska,109311.0,2.2,1.9,2.5,<10,Yes,2005,Medicaid
Nebraska,109768.0,2.6,2.3,2.9,<10,Yes,2006,Medicaid
Nebraska,110296.0,2.8,2.5,3.1,<10,Yes,2007,Medicaid
Nebraska,111808.0,3.1,2.8,3.4,<10,Yes,2008,Medicaid
Nebraska,119120.0,3.1,2.8,3.5,<10,Yes,2009,Medicaid
Nebraska,129365.0,2.7,2.5,3.0,<10,Yes,2010,Medicaid
Nebraska,136481.0,2.9,2.6,3.2,<10,Yes,2011,Medicaid
Nebraska,138070.0,3.5,3.2,3.8,<10,Yes,2012,Medicaid
Nebraska,140391.0,4.0,3.6,4.3,<10,Yes,2013,Medicaid
Nebraska,141335.0,5.8,5.4,6.2,<10,Yes,2016,Medicaid
Nebraska,141937.0,7.1,6.6,7.5,<10,Yes,2017,Medicaid
Nebraska,144441.0,8.0,7.6,8.5,<10,Yes,2018,Medicaid
Nebraska,144151.0,8.7,8.3,9.2,<10,Yes,2019,Medicaid
Nebraska,144317.0,10.0,9.5,10.5,10 to <20,Yes,2020,Medicaid
Nebraska,153886.0,13.0,12.5,13.6,10 to <20,Yes,2021,Medicaid
Nebraska,162020.0,15.5,14.9,16.1,10 to <20,Yes,2022,Medicaid
Nebraska,1570.0,12.5,8.2,19.0,10 to <20,Yes,2011,National Survey of Children's Health†
Nebraska,3139.0,24.9,16.7,36.9,20 to <30,Yes,2020,National Survey of Children's Health†
Nebraska,1776.0,18.0,12.6,25.6,10 to <20,Yes,2022,National Survey of Children's Health†
Nebraska,261089.0,1.1,1.0,1.3,<10,Yes,2000,Special Education Child Count
Nebraska,259797.0,1.4,1.3,1.6,<10,Yes,2001,Special Education Child Count
Nebraska,259471.0,1.7,1.6,1.9,<10,Yes,2002,Special Education Child Count
Nebraska,258903.0,2.0,1.9,2.2,<10,Yes,2003,Special Education Child Count
Nebraska,258442.0,2.5,2.3,2.7,<10,Yes,2004,Special Education Child Count
Nebraska,258295.0,3.1,2.9,3.3,<10,Yes,2005,Special Education Child Count
Nebraska,258567.0,3.8,3.6,4.0,<10,Yes,2006,Special Education Child Count
Nebraska,258565.0,4.5,4.3,4.8,<10,Yes,2007,Special Education Child Count
Nebraska,258754.0,5.3,5.0,5.6,<10,Yes,2008,Special Education Child Count
Nebraska,259837.0,6.1,5.8,6.4,<10,Yes,2009,Special Education Child Count
Nebraska,262433.0,6.6,6.3,6.9,<10,Yes,2010,Special Education Child Count
Nebraska,264594.0,7.5,7.1,7.8,<10,Yes,2011,Special Education Child Count
Nebraska,267579.0,8.1,7.8,8.4,<10,Yes,2012,Special Education Child Count
Nebraska,269195.0,8.9,8.6,9.3,<10,Yes,2013,Special Education Child Count
Nebraska,273431.0,9.5,9.1,9.8,<10,Yes,2014,Special Education Child Count
Nebraska,276975.0,10.1,9.8,10.5,10 to <20,Yes,2015,Special Education Child Count
Nebraska,280444.0,10.8,10.4,11.2,10 to <20,Yes,2016,Special Education Child Count
Nebraska,283021.0,11.8,11.4,12.2,10 to <20,Yes,2017,Special Education Child Count
Nebraska,284582.0,12.7,12.3,13.2,10 to <20,Yes,2018,Special Education Child Count
Nebraska,286688.0,13.4,13.0,13.8,10 to <20,Yes,2019,Special Education Child Count
Nebraska,284017.0,14.6,14.1,15.0,10 to <20,Yes,2020,Special Education Child Count
Nebraska,285114.0,15.5,15.1,16.0,10 to <20,Yes,2021,Special Education Child Count
Nebraska,286802.0,17.0,16.6,17.5,10 to <20,Yes,2022,Special Education Child Count
Nebraska,97463.0,1.1,,,<10,No,2000,Medicaid
Nebraska,105601.0,1.1,,,<10,No,2001,Medicaid
Nebraska,112447.0,1.2,,,<10,No,2002,Medicaid
Nebraska,105068.0,1.5,,,<10,No,2003,Medicaid
Nebraska,108382.0,1.9,,,<10,No,2004,Medicaid
Nebraska,109311.0,2.2,,,<10,No,2005,Medicaid
Nebraska,109768.0,2.6,,,<10,No,2006,Medicaid
Nebraska,110296.0,2.8,,,<10,No,2007,Medicaid
Nebraska,111808.0,3.1,,,<10,No,2008,Medicaid
Nebraska,119120.0,3.1,,,<10,No,2009,Medicaid
Nebraska,129365.0,2.7,,,<10,No,2010,Medicaid
Nebraska,136481.0,2.9,,,<10,No,2011,Medicaid
Nebraska,138070.0,3.5,,,<10,No,2012,Medicaid
Nebraska,140391.0,4.0,,,<10,No,2013,Medicaid
Nebraska,141335.0,5.8,,,<10,No,2016,Medicaid
Nebraska,141937.0,7.1,,,<10,No,2017,Medicaid
Nebraska,144441.0,8.0,,,<10,No,2018,Medicaid
Nebraska,144151.0,8.7,,,<10,No,2019,Medicaid
Nebraska,144317.0,10.0,,,10 to <20,No,2020,Medicaid
Nebraska,153886.0,13.0,,,10 to <20,No,2021,Medicaid
Nebraska,162020.0,15.5,,,10 to <20,No,2022,Medicaid
Nebraska,1570.0,12.5,,,10 to <20,No,2011,National Survey of Children's Health†
Nebraska,3139.0,24.9,,,20 to <30,No,2020,National Survey of Children's Health†
Nebraska,1776.0,18.0,,,10 to <20,No,2022,National Survey of Children's Health†
Nebraska,261089.0,1.1,,,<10,No,2000,Special Education Child Count
Nebraska,259797.0,1.4,,,<10,No,2001,Special Education Child Count
Nebraska,259471.0,1.7,,,<10,No,2002,Special Education Child Count
Nebraska,258903.0,2.0,,,<10,No,2003,Special Education Child Count
Nebraska,258442.0,2.5,,,<10,No,2004,Special Education Child Count
Nebraska,258295.0,3.1,,,<10,No,2005,Special Education Child Count
Nebraska,258567.0,3.8,,,<10,No,2006,Special Education Child Count
Nebraska,258565.0,4.5,,,<10,No,2007,Special Education Child Count
Nebraska,258754.0,5.3,,,<10,No,2008,Special Education Child Count
Nebraska,259837.0,6.1,,,<10,No,2009,Special Education Child Count
Nebraska,262433.0,6.6,,,<10,No,2010,Special Education Child Count
Nebraska,264594.0,7.5,,,<10,No,2011,Special Education Child Count
Nebraska,267579.0,8.1,,,<10,No,2012,Special Education Child Count
Nebraska,269195.0,8.9,,,<10,No,2013,Special Education Child Count
Nebraska,273431.0,9.5,,,<10,No,2014,Special Education Child Count
Nebraska,276975.0,10.1,,,10 to <20,No,2015,Special Education Child Count
Nebraska,280444.0,10.8,,,10 to <20,No,2016,Special Education Child Count
Nebraska,283021.0,11.8,,,10 to <20,No,2017,Special Education Child Count
Nebraska,284582.0,12.7,,,10 to <20,No,2018,Special Education Child Count
