State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
New Hampshire,44032.0,4.2,3.7,4.9,<10,Yes,2000,Medicaid
New Hampshire,45367.0,4.3,3.7,4.9,<10,Yes,2001,Medicaid
New Hampshire,50451.0,5.0,4.4,5.6,<10,Yes,2002,Medicaid
New Hampshire,54281.0,7.0,6.3,7.7,<10,Yes,2003,Medicaid
New Hampshire,56488.0,8.2,7.5,9.0,<10,Yes,2004,Medicaid
New Hampshire,57389.0,8.1,7.4,8.9,<10,Yes,2005,Medicaid
New Hampshire,58108.0,9.3,8.5,10.1,<10,Yes,2006,Medicaid
New Hampshire,58317.0,11.0,10.2,11.9,10 to <20,Yes,2007,Medicaid
New Hampshire,59681.0,12.5,11.6,13.4,10 to <20,Yes,2008,Medicaid
New Hampshire,64998.0,13.7,12.8,14.6,10 to <20,Yes,2009,Medicaid
New Hampshire,68529.0,14.8,14.0,15.8,10 to <20,Yes,2010,Medicaid
New Hampshire,69984.0,16.7,15.8,17.7,10 to <20,Yes,2011,Medicaid
New Hampshire,77131.0,17.4,16.5,18.3,10 to <20,Yes,2012,Medicaid
New Hampshire,77802.0,18.4,17.4,19.3,10 to <20,Yes,2013,Medicaid
New Hampshire,82527.0,18.2,17.3,19.2,10 to <20,Yes,2016,Medicaid
New Hampshire,81143.0,19.8,18.8,20.8,10 to <20,Yes,2017,Medicaid
New Hampshire,79881.0,20.9,19.9,21.9,20 to <30,Yes,2018,Medicaid
New Hampshire,78547.0,21.5,20.5,22.5,20 to <30,Yes,2019,Medicaid
New Hampshire,78531.0,21.8,20.8,22.8,20 to <30,Yes,2020,Medicaid
New Hampshire,83348.0,23.7,22.7,24.8,20 to <30,Yes,2021,Medicaid
New Hampshire,85347.0,29.4,28.2,30.5,20 to <30,Yes,2022,Medicaid
New Hampshire,1554.0,11.5,7.0,18.9,10 to <20,Yes,2007,National Survey of Children's Health†
New Hampshire,1688.0,18.1,10.8,30.0,10 to <20,Yes,2011,National Survey of Children's Health†
New Hampshire,3019.0,32.6,25.2,42.1,30+,Yes,2020,National Survey of Children's Health†
New Hampshire,1358.0,32.6,22.7,46.5,30+,Yes,2022,National Survey of Children's Health†
New Hampshire,196553.0,1.6,1.5,1.8,<10,Yes,2000,Special Education Child Count
New Hampshire,194715.0,2.0,1.8,2.2,<10,Yes,2001,Special Education Child Count
New Hampshire,195370.0,2.4,2.2,2.6,<10,Yes,2002,Special Education Child Count
New Hampshire,194656.0,2.9,2.6,3.1,<10,Yes,2003,Special Education Child Count
New Hampshire,193708.0,3.4,3.1,3.6,<10,Yes,2004,Special Education Child Count
New Hampshire,192270.0,3.9,3.6,4.2,<10,Yes,2005,Special Education Child Count
New Hampshire,190666.0,4.5,4.2,4.9,<10,Yes,2006,Special Education Child Count
New Hampshire,187669.0,5.6,5.3,6.0,<10,Yes,2007,Special Education Child Count
New Hampshire,184132.0,6.1,5.8,6.5,<10,Yes,2008,Special Education Child Count
New Hampshire,182184.0,7.0,6.6,7.4,<10,Yes,2009,Special Education Child Count
New Hampshire,179644.0,7.6,7.2,8.0,<10,Yes,2010,Special Education Child Count
New Hampshire,176757.0,8.8,8.4,9.2,<10,Yes,2011,Special Education Child Count
New Hampshire,173822.0,10.2,9.8,10.7,10 to <20,Yes,2012,Special Education Child Count
New Hampshire,171231.0,11.4,10.9,11.9,10 to <20,Yes,2013,Special Education Child Count
New Hampshire,169433.0,12.3,11.7,12.8,10 to <20,Yes,2014,Special Education Child Count
New Hampshire,166251.0,13.3,12.7,13.8,10 to <20,Yes,2015,Special Education Child Count
New Hampshire,164995.0,14.2,13.6,14.7,10 to <20,Yes,2016,Special Education Child Count
New Hampshire,163737.0,14.8,14.2,15.4,10 to <20,Yes,2017,Special Education Child Count
New Hampshire,162167.0,15.7,15.1,16.4,10 to <20,Yes,2018,Special Education Child Count
New Hampshire,160580.0,16.4,15.8,17.0,10 to <20,Yes,2019,Special Education Child Count
New Hampshire,155893.0,17.2,16.6,17.9,10 to <20,Yes,2020,Special Education Child Count
New Hampshire,154872.0,18.0,17.3,18.6,10 to <20,Yes,2021,Special Education Child Count
New Hampshire,153355.0,19.3,18.7,20.0,10 to <20,Yes,2022,Special Education Child Count
New Hampshire,44032.0,4.2,,,<10,No,2000,Medicaid
New Hampshire,45367.0,4.3,,,<10,No,2001,Medicaid
New Hampshire,50451.0,5.0,,,<10,No,2002,Medicaid
New Hampshire,54281.0,7.0,,,<10,No,2003,Medicaid
New Hampshire,56488.0,8.2,,,<10,No,2004,Medicaid
New Hampshire,57389.0,8.1,,,<10,No,2005,Medicaid
New Hampshire,58108.0,9.3,,,<10,No,2006,Medicaid
New Hampshire,58317.0,11.0,,,10 to <20,No,2007,Medicaid
New Hampshire,59681.0,12.5,,,10 to <20,No,2008,Medicaid
New Hampshire,64998.0,13.7,,,10 to <20,No,2009,Medicaid
New Hampshire,68529.0,14.8,,,10 to <20,No,2010,Medicaid
New Hampshire,69984.0,16.7,,,10 to <20,No,2011,Medicaid
New Hampshire,77131.0,17.4,,,10 to <20,No,2012,Medicaid
New Hampshire,77802.0,18.4,,,10 to <20,No,2013,Medicaid
New Hampshire,82527.0,18.2,,,10 to <20,No,2016,Medicaid
New Hampshire,81143.0,19.8,,,10 to <20,No,2017,Medicaid
New Hampshire,79881.0,20.9,,,20 to <30,No,2018,Medicaid
New Hampshire,78547.0,21.5,,,20 to <30,No,2019,Medicaid
New Hampshire,78531.0,21.8,,,20 to <30,No,2020,Medicaid
New Hampshire,83348.0,23.7,,,20 to <30,No,2021,Medicaid
New Hampshire,85347.0,29.4,,,20 to <30,No,2022,Medicaid
New Hampshire,1554.0,11.5,,,10 to <20,No,2007,National Survey of Children's Health†
New Hampshire,1688.0,18.1,,,10 to <20,No,2011,National Survey of Children's Health†
New Hampshire,3019.0,32.6,,,30+,No,2020,National Survey of Children's Health†
New Hampshire,1358.0,32.6,,,30+,No,2022,National Survey of Children's Health†
New Hampshire,196553.0,1.6,,,<10,No,2000,Special Education Child Count
New Hampshire,194715.0,2.0,,,<10,No,2001,Special Education Child Count
New Hampshire,195370.0,2.4,,,<10,No,2002,Special Education Child Count
New Hampshire,194656.0,2.9,,,<10,No,2003,Special Education Child Count
New Hampshire,193708.0,3.4,,,<10,No,2004,Special Education Child Count
New Hampshire,192270.0,3.9,,,<10,No,2005,Special Education Child Count
New Hampshire,190666.0,4.5,,,<10,No,2006,Special Education Child Count
New Hampshire,187669.0,5.6,,,<10,No,2007,Special Education Child Count
New Hampshire,184132.0,6.1,,,<10,No,2008,Special Education Child Count
New Hampshire,182184.0,7.0,,,<10,No,2009,Special Education Child Count
New Hampshire,179644.0,7.6,,,<10,No,2010,Special Education Child Count
New Hampshire,176757.0,8.8,,,<10,No,2011,Special Education Child Count
New Hampshire,173822.0,10.2,,,10 to <20,No,2012,Special Education Child Count
New Hampshire,171231.0,11.4,,,10 to <20,No,2013,Special Education Child Count
New Hampshire,169433.0,12.3,,,10 to <20,No,2014,Special Education Child Count
New Hampshire,166251.0,13.3,,,10 to <20,No,2015,Special Education Child Count
New Hampshire,164995.0,14.2,,,10 to <20,No,2016,Special Education Child Count
New Hampshire,163737.0,14.8,,,10 to <20,No,2017,Special Education Child Count
New Hampshire,162167.0,15.7,,,10 to <20,No,2018,Special Education Child Count
New Hampshire,160580.0,16.4,,,10 to <20,No,2019,Special Education Child Count
New Hampshire,155893.0,17.2,,,10 to <20,No,2020,Special Education Child Count
New Hampshire,154872.0,18.0,,,10 to <20,No,2021,Special Education Child Count
New Hampshire,153355.0,19.3,,,10 to <20,No,2022,Special Education Child Count
