State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
New Jersey,29714.0,9.9,8.9,11.1,<10,Yes,2000,ADDM Network*
New Jersey,29748.0,10.6,9.5,11.9,10 to <20,Yes,2002,ADDM Network*
New Jersey,7082.0,20.5,17.4,24.0,20 to <30,Yes,2008,ADDM Network*
New Jersey,31723.0,21.9,20.4,23.6,20 to <30,Yes,2010,ADDM Network*
New Jersey,32581.0,24.6,23.0,26.4,20 to <30,Yes,2012,ADDM Network*
New Jersey,32935.0,29.3,27.5,31.1,20 to <30,Yes,2014,ADDM Network*
New Jersey,33031.0,31.4,29.5,33.3,30+,Yes,2016,ADDM Network*
New Jersey,17289.0,28.4,26.0,31.0,20 to <30,Yes,2018,ADDM Network*
New Jersey,18940.0,28.7,26.4,31.2,20 to <30,Yes,2020,ADDM Network*
New Jersey,18334.0,34.0,31.5,36.7,30+,Yes,2022,ADDM Network*
New Jersey,334551.0,2.1,1.9,2.2,<10,Yes,2000,Medicaid
New Jersey,347409.0,2.1,2.0,2.3,<10,Yes,2001,Medicaid
New Jersey,367563.0,2.5,2.4,2.7,<10,Yes,2002,Medicaid
New Jersey,367528.0,2.6,2.5,2.8,<10,Yes,2003,Medicaid
New Jersey,371750.0,3.0,2.8,3.2,<10,Yes,2004,Medicaid
New Jersey,384814.0,3.4,3.3,3.6,<10,Yes,2005,Medicaid
New Jersey,403013.0,4.2,4.0,4.4,<10,Yes,2006,Medicaid
New Jersey,407386.0,4.8,4.6,5.0,<10,Yes,2007,Medicaid
New Jersey,419475.0,5.9,5.7,6.1,<10,Yes,2008,Medicaid
New Jersey,448538.0,7.1,6.8,7.3,<10,Yes,2009,Medicaid
New Jersey,491524.0,7.9,7.7,8.1,<10,Yes,2010,Medicaid
New Jersey,511196.0,8.8,8.5,9.1,<10,Yes,2011,Medicaid
New Jersey,533348.0,9.7,9.5,10.0,<10,Yes,2012,Medicaid
New Jersey,550801.0,11.2,10.9,11.5,10 to <20,Yes,2013,Medicaid
New Jersey,686361.0,13.6,13.4,13.9,10 to <20,Yes,2016,Medicaid
New Jersey,688394.0,14.7,14.4,15.0,10 to <20,Yes,2017,Medicaid
New Jersey,687787.0,16.6,16.3,16.9,10 to <20,Yes,2018,Medicaid
New Jersey,682143.0,18.3,18.0,18.6,10 to <20,Yes,2019,Medicaid
New Jersey,671444.0,20.5,20.2,20.8,20 to <30,Yes,2020,Medicaid
New Jersey,709070.0,22.3,21.9,22.6,20 to <30,Yes,2021,Medicaid
New Jersey,736948.0,25.1,24.8,25.5,20 to <30,Yes,2022,Medicaid
New Jersey,1576.0,27.3,17.1,43.2,20 to <30,Yes,2011,National Survey of Children's Health†
