State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
New Mexico,183786.0,1.5,1.3,1.7,<10,Yes,2000,Medicaid
New Mexico,196635.0,1.7,1.5,1.9,<10,Yes,2001,Medicaid
New Mexico,212060.0,1.6,1.5,1.8,<10,Yes,2002,Medicaid
New Mexico,221257.0,1.6,1.5,1.8,<10,Yes,2003,Medicaid
New Mexico,228934.0,1.8,1.6,2.0,<10,Yes,2004,Medicaid
New Mexico,223693.0,2.6,2.4,2.8,<10,Yes,2005,Medicaid
New Mexico,217172.0,2.5,2.3,2.7,<10,Yes,2006,Medicaid
New Mexico,224864.0,3.0,2.8,3.3,<10,Yes,2007,Medicaid
New Mexico,236197.0,3.4,3.2,3.7,<10,Yes,2008,Medicaid
New Mexico,254466.0,4.0,3.7,4.2,<10,Yes,2009,Medicaid
New Mexico,268311.0,4.6,4.4,4.9,<10,Yes,2010,Medicaid
New Mexico,276347.0,5.2,5.0,5.5,<10,Yes,2011,Medicaid
New Mexico,278009.0,5.8,5.6,6.1,<10,Yes,2012,Medicaid
New Mexico,278846.0,6.3,6.0,6.6,<10,Yes,2013,Medicaid
New Mexico,300183.0,9.1,8.7,9.4,<10,Yes,2016,Medicaid
New Mexico,304663.0,10.0,9.7,10.4,10 to <20,Yes,2017,Medicaid
New Mexico,292243.0,11.6,11.2,11.9,10 to <20,Yes,2018,Medicaid
New Mexico,282898.0,13.4,13.0,13.8,10 to <20,Yes,2019,Medicaid
New Mexico,281409.0,13.6,13.2,14.1,10 to <20,Yes,2020,Medicaid
New Mexico,289130.0,15.2,14.8,15.7,10 to <20,Yes,2021,Medicaid
New Mexico,292689.0,17.1,16.6,17.5,10 to <20,Yes,2022,Medicaid
New Mexico,2780.0,22.3,15.4,32.0,20 to <30,Yes,2020,National Survey of Children's Health†
New Mexico,1418.0,43.0,29.7,61.9,30+,Yes,2022,National Survey of Children's Health†
New Mexico,295151.0,0.7,0.6,0.8,<10,Yes,2000,Special Education Child Count
New Mexico,294624.0,0.8,0.7,0.9,<10,Yes,2001,Special Education Child Count
New Mexico,294067.0,0.9,0.8,1.0,<10,Yes,2002,Special Education Child Count
New Mexico,295454.0,1.1,1.0,1.2,<10,Yes,2003,Special Education Child Count
New Mexico,296156.0,1.2,1.1,1.4,<10,Yes,2004,Special Education Child Count
New Mexico,295548.0,1.5,1.4,1.6,<10,Yes,2005,Special Education Child Count
New Mexico,296700.0,1.9,1.7,2.0,<10,Yes,2006,Special Education Child Count
New Mexico,297866.0,2.3,2.2,2.5,<10,Yes,2007,Special Education Child Count
New Mexico,298200.0,2.9,2.8,3.1,<10,Yes,2008,Special Education Child Count
New Mexico,300747.0,3.6,3.4,3.8,<10,Yes,2009,Special Education Child Count
New Mexico,303454.0,4.4,4.1,4.6,<10,Yes,2010,Special Education Child Count
New Mexico,302619.0,4.9,4.7,5.2,<10,Yes,2011,Special Education Child Count
New Mexico,303049.0,5.6,5.3,5.8,<10,Yes,2012,Special Education Child Count
New Mexico,304011.0,6.4,6.1,6.6,<10,Yes,2013,Special Education Child Count
New Mexico,305701.0,6.8,6.5,7.1,<10,Yes,2014,Special Education Child Count
New Mexico,302489.0,7.8,7.5,8.1,<10,Yes,2015,Special Education Child Count
New Mexico,304532.0,8.5,8.2,8.8,<10,Yes,2016,Special Education Child Count
New Mexico,300943.0,9.4,9.1,9.8,<10,Yes,2017,Special Education Child Count
New Mexico,299989.0,9.7,9.3,10.0,<10,Yes,2018,Special Education Child Count
New Mexico,296997.0,10.5,10.1,10.9,10 to <20,Yes,2019,Special Education Child Count
New Mexico,288257.0,12.2,11.8,12.6,10 to <20,Yes,2020,Special Education Child Count
New Mexico,286096.0,13.3,12.9,13.8,10 to <20,Yes,2021,Special Education Child Count
New Mexico,284286.0,15.2,14.7,15.6,10 to <20,Yes,2022,Special Education Child Count
New Mexico,183786.0,1.5,,,<10,No,2000,Medicaid
New Mexico,196635.0,1.7,,,<10,No,2001,Medicaid
New Mexico,212060.0,1.6,,,<10,No,2002,Medicaid
New Mexico,221257.0,1.6,,,<10,No,2003,Medicaid
New Mexico,228934.0,1.8,,,<10,No,2004,Medicaid
New Mexico,223693.0,2.6,,,<10,No,2005,Medicaid
New Mexico,217172.0,2.5,,,<10,No,2006,Medicaid
New Mexico,224864.0,3.0,,,<10,No,2007,Medicaid
New Mexico,236197.0,3.4,,,<10,No,2008,Medicaid
New Mexico,254466.0,4.0,,,<10,No,2009,Medicaid
New Mexico,268311.0,4.6,,,<10,No,2010,Medicaid
New Mexico,276347.0,5.2,,,<10,No,2011,Medicaid
New Mexico,278009.0,5.8,,,<10,No,2012,Medicaid
New Mexico,278846.0,6.3,,,<10,No,2013,Medicaid
New Mexico,300183.0,9.1,,,<10,No,2016,Medicaid
New Mexico,304663.0,10.0,,,10 to <20,No,2017,Medicaid
New Mexico,292243.0,11.6,,,10 to <20,No,2018,Medicaid
New Mexico,282898.0,13.4,,,10 to <20,No,2019,Medicaid
New Mexico,281409.0,13.6,,,10 to <20,No,2020,Medicaid
New Mexico,289130.0,15.2,,,10 to <20,No,2021,Medicaid
New Mexico,292689.0,17.1,,,10 to <20,No,2022,Medicaid
New Mexico,2780.0,22.3,,,20 to <30,No,2020,National Survey of Children's Health†
New Mexico,1418.0,43.0,,,30+,No,2022,National Survey of Children's Health†
New Mexico,295151.0,0.7,,,<10,No,2000,Special Education Child Count
New Mexico,294624.0,0.8,,,<10,No,2001,Special Education Child Count
