State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
New York,986828.0,2.5,2.4,2.6,<10,Yes,2000,Medicaid
New York,1085474.0,2.5,2.4,2.6,<10,Yes,2001,Medicaid
New York,1213599.0,2.5,2.4,2.6,<10,Yes,2002,Medicaid
New York,1351815.0,2.6,2.5,2.7,<10,Yes,2003,Medicaid
New York,1375277.0,3.0,2.9,3.1,<10,Yes,2004,Medicaid
New York,1362388.0,3.0,2.9,3.1,<10,Yes,2005,Medicaid
New York,1307202.0,3.4,3.3,3.5,<10,Yes,2006,Medicaid
New York,1259206.0,3.9,3.8,4.0,<10,Yes,2007,Medicaid
New York,1258070.0,4.4,4.3,4.5,<10,Yes,2008,Medicaid
New York,1312365.0,4.9,4.8,5.0,<10,Yes,2009,Medicaid
New York,1376511.0,5.0,4.9,5.1,<10,Yes,2010,Medicaid
New York,1411900.0,6.6,6.5,6.7,<10,Yes,2011,Medicaid
New York,1508552.0,8.4,8.2,8.5,<10,Yes,2012,Medicaid
New York,1577082.0,10.1,10.0,10.3,10 to <20,Yes,2013,Medicaid
New York,2187670.0,14.1,14.0,14.3,10 to <20,Yes,2016,Medicaid
New York,2289619.0,15.3,15.2,15.5,10 to <20,Yes,2017,Medicaid
New York,2369957.0,16.5,16.3,16.6,10 to <20,Yes,2018,Medicaid
New York,2320517.0,18.2,18.0,18.3,10 to <20,Yes,2019,Medicaid
New York,1952199.0,21.2,20.9,21.4,20 to <30,Yes,2020,Medicaid
New York,2009130.0,22.5,22.3,22.7,20 to <30,Yes,2021,Medicaid
New York,2054881.0,25.1,24.9,25.3,20 to <30,Yes,2022,Medicaid
New York,1527.0,7.4,4.3,12.6,<10,Yes,2007,National Survey of Children's Health†
New York,1654.0,18.9,12.7,27.9,10 to <20,Yes,2011,National Survey of Children's Health†
New York,2869.0,25.8,19.2,34.6,20 to <30,Yes,2020,National Survey of Children's Health†
New York,4615.0,36.5,26.2,50.6,30+,Yes,2022,National Survey of Children's Health†
New York,2500499.0,2.2,2.2,2.3,<10,Yes,2000,Special Education Child Count
New York,2508236.0,2.6,2.6,2.7,<10,Yes,2001,Special Education Child Count
New York,2515084.0,3.1,3.0,3.2,<10,Yes,2002,Special Education Child Count
New York,2502148.0,3.6,3.5,3.6,<10,Yes,2003,Special Education Child Count
New York,2503880.0,4.1,4.0,4.2,<10,Yes,2004,Special Education Child Count
New York,2478126.0,4.6,4.6,4.7,<10,Yes,2005,Special Education Child Count
New York,2454653.0,5.3,5.2,5.4,<10,Yes,2006,Special Education Child Count
New York,2423601.0,6.1,6.0,6.2,<10,Yes,2007,Special Education Child Count
New York,2391967.0,6.7,6.6,6.8,<10,Yes,2008,Special Education Child Count
New York,2408209.0,7.4,7.3,7.5,<10,Yes,2009,Special Education Child Count
New York,2461595.0,7.8,7.7,8.0,<10,Yes,2010,Special Education Child Count
New York,2427519.0,8.4,8.3,8.6,<10,Yes,2011,Special Education Child Count
New York,2427513.0,9.2,9.0,9.3,<10,Yes,2012,Special Education Child Count
New York,2427327.0,10.1,10.0,10.2,10 to <20,Yes,2013,Special Education Child Count
New York,2435476.0,10.9,10.8,11.0,10 to <20,Yes,2014,Special Education Child Count
