State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
North Carolina,20725.0,6.5,5.5,7.7,<10,Yes,2002,ADDM Network*
North Carolina,20187.0,8.7,7.5,10.1,<10,Yes,2004,ADDM Network*
North Carolina,22195.0,10.4,9.1,11.8,10 to <20,Yes,2006,ADDM Network*
North Carolina,36913.0,14.2,13.1,15.5,10 to <20,Yes,2008,ADDM Network*
North Carolina,37783.0,17.3,16.1,18.7,10 to <20,Yes,2010,ADDM Network*
North Carolina,38913.0,16.8,15.6,18.1,10 to <20,Yes,2012,ADDM Network*
North Carolina,30283.0,17.4,16.0,18.9,10 to <20,Yes,2014,ADDM Network*
North Carolina,19291.0,25.3,23.2,27.7,20 to <30,Yes,2016,ADDM Network*
North Carolina,435822.0,3.4,3.3,3.6,<10,Yes,2000,Medicaid
North Carolina,482049.0,3.5,3.3,3.6,<10,Yes,2001,Medicaid
North Carolina,506880.0,3.7,3.5,3.9,<10,Yes,2002,Medicaid
North Carolina,537981.0,3.9,3.7,4.1,<10,Yes,2003,Medicaid
North Carolina,566243.0,4.5,4.3,4.6,<10,Yes,2004,Medicaid
North Carolina,582887.0,5.3,5.1,5.5,<10,Yes,2005,Medicaid
North Carolina,619018.0,5.8,5.6,6.0,<10,Yes,2006,Medicaid
North Carolina,627426.0,6.6,6.4,6.8,<10,Yes,2007,Medicaid
North Carolina,653821.0,7.7,7.4,7.9,<10,Yes,2008,Medicaid
North Carolina,702889.0,8.0,7.8,8.2,<10,Yes,2009,Medicaid
North Carolina,744006.0,8.6,8.4,8.9,<10,Yes,2010,Medicaid
North Carolina,767362.0,8.9,8.7,9.2,<10,Yes,2011,Medicaid
North Carolina,802643.0,8.3,8.1,8.5,<10,Yes,2012,Medicaid
North Carolina,832358.0,5.9,5.7,6.0,<10,Yes,2013,Medicaid
North Carolina,1024459.0,9.4,9.2,9.5,<10,Yes,2016,Medicaid
North Carolina,1034097.0,10.7,10.5,10.9,10 to <20,Yes,2017,Medicaid
North Carolina,1034680.0,11.7,11.5,11.9,10 to <20,Yes,2018,Medicaid
North Carolina,1023773.0,13.4,13.2,13.6,10 to <20,Yes,2019,Medicaid
North Carolina,1007326.0,13.9,13.7,14.1,10 to <20,Yes,2020,Medicaid
North Carolina,1070713.0,15.3,15.0,15.5,10 to <20,Yes,2021,Medicaid
North Carolina,1110755.0,16.3,16.1,16.6,10 to <20,Yes,2022,Medicaid
North Carolina,1558.0,25.6,15.5,41.8,20 to <30,Yes,2011,National Survey of Children's Health†
North Carolina,2876.0,24.0,18.4,31.3,20 to <30,Yes,2020,National Survey of Children's Health†
North Carolina,1375.0,16.6,11.1,24.5,10 to <20,Yes,2022,National Survey of Children's Health†
North Carolina,1183821.0,1.9,1.8,2.0,<10,Yes,2000,Special Education Child Count
North Carolina,1203271.0,2.4,2.3,2.5,<10,Yes,2001,Special Education Child Count
North Carolina,1220801.0,2.7,2.6,2.8,<10,Yes,2002,Special Education Child Count
North Carolina,1239187.0,3.1,3.0,3.2,<10,Yes,2003,Special Education Child Count
North Carolina,1261533.0,3.6,3.4,3.7,<10,Yes,2004,Special Education Child Count
North Carolina,1289760.0,4.1,4.0,4.2,<10,Yes,2005,Special Education Child Count
North Carolina,1309437.0,4.7,4.5,4.8,<10,Yes,2006,Special Education Child Count
North Carolina,1351567.0,5.2,5.1,5.3,<10,Yes,2007,Special Education Child Count
North Carolina,1346685.0,5.9,5.8,6.1,<10,Yes,2008,Special Education Child Count
