State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
North Dakota,21041.0,2.9,2.3,3.8,<10,Yes,2000,Medicaid
North Dakota,21553.0,3.2,2.5,4.0,<10,Yes,2001,Medicaid
North Dakota,23278.0,3.5,2.8,4.3,<10,Yes,2002,Medicaid
North Dakota,24670.0,6.0,5.1,7.0,<10,Yes,2003,Medicaid
North Dakota,24625.0,8.3,7.3,9.5,<10,Yes,2004,Medicaid
North Dakota,24661.0,9.7,8.5,11.0,<10,Yes,2005,Medicaid
North Dakota,23922.0,10.6,9.4,12.0,10 to <20,Yes,2006,Medicaid
North Dakota,23602.0,11.9,10.6,13.3,10 to <20,Yes,2007,Medicaid
North Dakota,24576.0,12.7,11.3,14.1,10 to <20,Yes,2008,Medicaid
North Dakota,28646.0,11.6,10.4,12.9,10 to <20,Yes,2009,Medicaid
North Dakota,30934.0,10.6,9.6,11.8,10 to <20,Yes,2010,Medicaid
North Dakota,32032.0,11.3,10.2,12.6,10 to <20,Yes,2011,Medicaid
North Dakota,32620.0,11.9,10.8,13.1,10 to <20,Yes,2012,Medicaid
North Dakota,32568.0,14.4,13.1,15.7,10 to <20,Yes,2013,Medicaid
North Dakota,38798.0,15.3,14.1,16.5,10 to <20,Yes,2016,Medicaid
North Dakota,39699.0,17.7,16.4,19.0,10 to <20,Yes,2017,Medicaid
North Dakota,39603.0,19.1,17.8,20.5,10 to <20,Yes,2018,Medicaid
North Dakota,39252.0,21.1,19.7,22.5,20 to <30,Yes,2019,Medicaid
North Dakota,39800.0,22.0,20.5,23.4,20 to <30,Yes,2020,Medicaid
North Dakota,44644.0,24.3,22.9,25.8,20 to <30,Yes,2021,Medicaid
North Dakota,46899.0,27.2,25.7,28.7,20 to <30,Yes,2022,Medicaid
North Dakota,2859.0,16.0,11.4,22.4,10 to <20,Yes,2020,National Survey of Children's Health†
North Dakota,1264.0,39.3,24.8,61.6,30+,Yes,2022,National Survey of Children's Health†
North Dakota,101354.0,1.1,0.9,1.3,<10,Yes,2000,Special Education Child Count
