State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Oklahoma,252657.0,1.1,1.0,1.3,<10,Yes,2000,Medicaid
Oklahoma,277750.0,1.3,1.2,1.5,<10,Yes,2001,Medicaid
Oklahoma,325747.0,1.4,1.2,1.5,<10,Yes,2002,Medicaid
Oklahoma,298071.0,1.5,1.3,1.6,<10,Yes,2003,Medicaid
Oklahoma,311496.0,1.8,1.6,1.9,<10,Yes,2004,Medicaid
Oklahoma,323453.0,2.2,2.0,2.3,<10,Yes,2005,Medicaid
Oklahoma,330285.0,2.8,2.6,3.0,<10,Yes,2006,Medicaid
Oklahoma,346026.0,3.8,3.6,4.0,<10,Yes,2007,Medicaid
Oklahoma,346814.0,4.9,4.6,5.1,<10,Yes,2008,Medicaid
Oklahoma,369633.0,5.6,5.4,5.8,<10,Yes,2009,Medicaid
Oklahoma,392456.0,6.3,6.0,6.5,<10,Yes,2010,Medicaid
Oklahoma,404595.0,7.1,6.9,7.4,<10,Yes,2011,Medicaid
Oklahoma,418163.0,8.2,8.0,8.5,<10,Yes,2012,Medicaid
Oklahoma,421415.0,8.7,8.5,9.0,<10,Yes,2013,Medicaid
Oklahoma,442202.0,10.4,10.1,10.7,10 to <20,Yes,2016,Medicaid
Oklahoma,454365.0,10.3,10.0,10.6,10 to <20,Yes,2017,Medicaid
Oklahoma,442695.0,11.2,10.9,11.5,10 to <20,Yes,2018,Medicaid
Oklahoma,439777.0,11.9,11.6,12.2,10 to <20,Yes,2019,Medicaid
Oklahoma,454254.0,12.1,11.8,12.5,10 to <20,Yes,2020,Medicaid
Oklahoma,493503.0,13.4,13.1,13.7,10 to <20,Yes,2021,Medicaid
Oklahoma,519702.0,15.7,15.4,16.1,10 to <20,Yes,2022,Medicaid
Oklahoma,1533.0,12.3,7.1,21.2,10 to <20,Yes,2007,National Survey of Children's Health†
Oklahoma,1563.0,19.8,12.1,32.4,10 to <20,Yes,2011,National Survey of Children's Health†
Oklahoma,2743.0,30.2,22.6,40.2,30+,Yes,2020,National Survey of Children's Health†
Oklahoma,1367.0,39.5,29.7,52.3,30+,Yes,2022,National Survey of Children's Health†
Oklahoma,553268.0,1.1,1.1,1.2,<10,Yes,2000,Special Education Child Count
Oklahoma,549715.0,1.4,1.3,1.5,<10,Yes,2001,Special Education Child Count
Oklahoma,547381.0,1.4,1.3,1.5,<10,Yes,2002,Special Education Child Count
