State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
South Carolina,24535.0,6.3,5.4,7.4,<10,Yes,2000,ADDM Network*
South Carolina,23191.0,6.0,5.1,7.1,<10,Yes,2002,ADDM Network*
South Carolina,22399.0,5.3,4.4,6.3,<10,Yes,2004,ADDM Network*
South Carolina,22681.0,8.6,7.5,9.9,<10,Yes,2006,ADDM Network*
South Carolina,23769.0,11.1,9.9,12.5,10 to <20,Yes,2008,ADDM Network*
South Carolina,24356.0,12.4,11.1,13.9,10 to <20,Yes,2012,ADDM Network*
South Carolina,312791.0,3.1,3.0,3.4,<10,Yes,2000,Medicaid
South Carolina,352715.0,3.2,3.0,3.4,<10,Yes,2001,Medicaid
South Carolina,376871.0,3.4,3.2,3.6,<10,Yes,2002,Medicaid
South Carolina,401466.0,3.5,3.3,3.6,<10,Yes,2003,Medicaid
South Carolina,371453.0,4.1,3.9,4.3,<10,Yes,2004,Medicaid
South Carolina,371167.0,4.6,4.3,4.8,<10,Yes,2005,Medicaid
South Carolina,359964.0,5.4,5.2,5.6,<10,Yes,2006,Medicaid
South Carolina,345656.0,6.4,6.1,6.6,<10,Yes,2007,Medicaid
South Carolina,346725.0,6.8,6.5,7.0,<10,Yes,2008,Medicaid
South Carolina,369536.0,6.6,6.3,6.8,<10,Yes,2009,Medicaid
South Carolina,403235.0,7.3,7.1,7.6,<10,Yes,2010,Medicaid
South Carolina,423686.0,8.3,8.1,8.6,<10,Yes,2011,Medicaid
South Carolina,469419.0,8.3,8.0,8.5,<10,Yes,2012,Medicaid
South Carolina,499149.0,8.6,8.4,8.9,<10,Yes,2013,Medicaid
South Carolina,544655.0,11.1,10.8,11.3,10 to <20,Yes,2016,Medicaid
South Carolina,552160.0,13.0,12.7,13.3,10 to <20,Yes,2017,Medicaid
South Carolina,560869.0,13.9,13.6,14.2,10 to <20,Yes,2018,Medicaid
South Carolina,559061.0,15.0,14.7,15.3,10 to <20,Yes,2019,Medicaid
South Carolina,542937.0,15.3,15.0,15.6,10 to <20,Yes,2020,Medicaid
South Carolina,575798.0,15.7,15.4,16.0,10 to <20,Yes,2021,Medicaid
South Carolina,599563.0,16.9,16.5,17.2,10 to <20,Yes,2022,Medicaid
South Carolina,1682.0,11.8,7.5,18.5,10 to <20,Yes,2011,National Survey of Children's Health†
South Carolina,2943.0,25.0,18.7,33.4,20 to <30,Yes,2020,National Survey of Children's Health†
South Carolina,1375.0,31.5,22.1,44.6,30+,Yes,2022,National Survey of Children's Health†
South Carolina,612794.0,1.3,1.2,1.4,<10,Yes,2000,Special Education Child Count
South Carolina,611633.0,1.5,1.4,1.6,<10,Yes,2001,Special Education Child Count
South Carolina,625007.0,1.7,1.6,1.8,<10,Yes,2002,Special Education Child Count
South Carolina,628106.0,1.9,1.8,2.0,<10,Yes,2003,Special Education Child Count
South Carolina,630448.0,2.2,2.1,2.3,<10,Yes,2004,Special Education Child Count
South Carolina,627135.0,2.5,2.4,2.7,<10,Yes,2005,Special Education Child Count
South Carolina,632650.0,2.9,2.7,3.0,<10,Yes,2006,Special Education Child Count
South Carolina,637191.0,3.4,3.3,3.5,<10,Yes,2007,Special Education Child Count
South Carolina,642269.0,3.7,3.6,3.9,<10,Yes,2008,Special Education Child Count
South Carolina,645103.0,4.1,4.0,4.3,<10,Yes,2009,Special Education Child Count
South Carolina,647026.0,4.7,4.6,4.9,<10,Yes,2010,Special Education Child Count
South Carolina,647570.0,5.4,5.2,5.6,<10,Yes,2011,Special Education Child Count
South Carolina,653571.0,6.3,6.2,6.5,<10,Yes,2012,Special Education Child Count
South Carolina,663136.0,7.1,6.9,7.3,<10,Yes,2013,Special Education Child Count
South Carolina,673967.0,8.0,7.8,8.2,<10,Yes,2014,Special Education Child Count
South Carolina,683490.0,8.8,8.6,9.1,<10,Yes,2015,Special Education Child Count
South Carolina,690211.0,9.6,9.4,9.8,<10,Yes,2016,Special Education Child Count
South Carolina,694903.0,10.4,10.2,10.7,10 to <20,Yes,2017,Special Education Child Count
South Carolina,698065.0,11.2,10.9,11.4,10 to <20,Yes,2018,Special Education Child Count
South Carolina,702751.0,11.9,11.7,12.2,10 to <20,Yes,2019,Special Education Child Count
South Carolina,694016.0,13.4,13.1,13.6,10 to <20,Yes,2020,Special Education Child Count
South Carolina,700861.0,14.3,14.0,14.5,10 to <20,Yes,2021,Special Education Child Count
South Carolina,707761.0,15.7,15.4,16.0,10 to <20,Yes,2022,Special Education Child Count
South Carolina,24535.0,6.3,,,<10,No,2000,ADDM Network*
South Carolina,23191.0,6.0,,,<10,No,2002,ADDM Network*
South Carolina,22399.0,5.3,,,<10,No,2004,ADDM Network*
South Carolina,22681.0,8.6,,,<10,No,2006,ADDM Network*
South Carolina,23769.0,11.1,,,10 to <20,No,2008,ADDM Network*
South Carolina,24356.0,12.4,,,10 to <20,No,2012,ADDM Network*
South Carolina,312791.0,3.1,,,<10,No,2000,Medicaid
South Carolina,352715.0,3.2,,,<10,No,2001,Medicaid
South Carolina,376871.0,3.4,,,<10,No,2002,Medicaid
South Carolina,401466.0,3.5,,,<10,No,2003,Medicaid
South Carolina,371453.0,4.1,,,<10,No,2004,Medicaid
South Carolina,371167.0,4.6,,,<10,No,2005,Medicaid
South Carolina,359964.0,5.4,,,<10,No,2006,Medicaid
South Carolina,345656.0,6.4,,,<10,No,2007,Medicaid
South Carolina,346725.0,6.8,,,<10,No,2008,Medicaid
South Carolina,369536.0,6.6,,,<10,No,2009,Medicaid
South Carolina,403235.0,7.3,,,<10,No,2010,Medicaid
South Carolina,423686.0,8.3,,,<10,No,2011,Medicaid
South Carolina,469419.0,8.3,,,<10,No,2012,Medicaid
South Carolina,499149.0,8.6,,,<10,No,2013,Medicaid
South Carolina,544655.0,11.1,,,10 to <20,No,2016,Medicaid
