State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
South Dakota,42764.0,2.9,2.4,3.5,<10,Yes,2000,Medicaid
South Dakota,47275.0,2.6,2.1,3.1,<10,Yes,2001,Medicaid
South Dakota,50966.0,2.6,2.1,3.0,<10,Yes,2002,Medicaid
South Dakota,53420.0,2.8,2.4,3.3,<10,Yes,2003,Medicaid
South Dakota,54810.0,2.7,2.3,3.2,<10,Yes,2004,Medicaid
South Dakota,56222.0,3.1,2.6,3.6,<10,Yes,2005,Medicaid
South Dakota,56658.0,3.3,2.9,3.8,<10,Yes,2006,Medicaid
South Dakota,57204.0,4.1,3.6,4.7,<10,Yes,2007,Medicaid
South Dakota,58280.0,4.1,3.6,4.7,<10,Yes,2008,Medicaid
South Dakota,61406.0,4.1,3.6,4.6,<10,Yes,2009,Medicaid
South Dakota,64732.0,4.3,3.9,4.9,<10,Yes,2010,Medicaid
South Dakota,65975.0,4.6,4.1,5.2,<10,Yes,2011,Medicaid
South Dakota,66939.0,5.1,4.6,5.7,<10,Yes,2012,Medicaid
South Dakota,66916.0,6.3,5.7,6.9,<10,Yes,2013,Medicaid
South Dakota,71888.0,8.1,7.4,8.8,<10,Yes,2016,Medicaid
South Dakota,72253.0,8.9,8.2,9.6,<10,Yes,2017,Medicaid
South Dakota,71511.0,9.7,9.0,10.4,<10,Yes,2018,Medicaid
South Dakota,70465.0,11.6,10.8,12.4,10 to <20,Yes,2019,Medicaid
South Dakota,69148.0,11.9,11.1,12.8,10 to <20,Yes,2020,Medicaid
South Dakota,73702.0,12.6,11.8,13.4,10 to <20,Yes,2021,Medicaid
South Dakota,77088.0,13.3,12.5,14.1,10 to <20,Yes,2022,Medicaid
South Dakota,1513.0,17.2,10.7,27.5,10 to <20,Yes,2011,National Survey of Children's Health†
South Dakota,2886.0,18.7,12.6,27.8,10 to <20,Yes,2020,National Survey of Children's Health†
South Dakota,1429.0,19.4,12.2,30.7,10 to <20,Yes,2022,National Survey of Children's Health†
South Dakota,118489.0,1.7,1.5,2.0,<10,Yes,2000,Special Education Child Count
South Dakota,117018.0,2.0,1.7,2.2,<10,Yes,2001,Special Education Child Count
South Dakota,116672.0,2.2,2.0,2.5,<10,Yes,2002,Special Education Child Count
South Dakota,114204.0,2.6,2.3,2.9,<10,Yes,2003,Special Education Child Count
South Dakota,112368.0,3.1,2.8,3.4,<10,Yes,2004,Special Education Child Count
South Dakota,111325.0,3.5,3.2,3.9,<10,Yes,2005,Special Education Child Count
South Dakota,110296.0,3.9,3.6,4.3,<10,Yes,2006,Special Education Child Count
South Dakota,110583.0,4.2,3.9,4.6,<10,Yes,2007,Special Education Child Count
South Dakota,113488.0,4.6,4.2,5.0,<10,Yes,2008,Special Education Child Count
South Dakota,111786.0,4.9,4.5,5.3,<10,Yes,2009,Special Education Child Count
South Dakota,113105.0,4.9,4.6,5.4,<10,Yes,2010,Special Education Child Count
South Dakota,113645.0,5.5,5.1,5.9,<10,Yes,2011,Special Education Child Count
South Dakota,115453.0,5.9,5.4,6.3,<10,Yes,2012,Special Education Child Count
South Dakota,116127.0,6.1,5.7,6.6,<10,Yes,2013,Special Education Child Count
South Dakota,118485.0,6.6,6.2,7.1,<10,Yes,2014,Special Education Child Count
South Dakota,119401.0,7.9,7.4,8.4,<10,Yes,2015,Special Education Child Count
South Dakota,121212.0,9.0,8.5,9.5,<10,Yes,2016,Special Education Child Count
South Dakota,122428.0,10.0,9.4,10.6,10 to <20,Yes,2017,Special Education Child Count
South Dakota,123449.0,10.3,9.7,10.8,10 to <20,Yes,2018,Special Education Child Count
South Dakota,124400.0,10.7,10.1,11.3,10 to <20,Yes,2019,Special Education Child Count
South Dakota,124932.0,11.3,10.8,11.9,10 to <20,Yes,2020,Special Education Child Count
South Dakota,125717.0,12.4,11.8,13.0,10 to <20,Yes,2021,Special Education Child Count
South Dakota,126433.0,13.7,13.1,14.4,10 to <20,Yes,2022,Special Education Child Count
South Dakota,42764.0,2.9,,,<10,No,2000,Medicaid
South Dakota,47275.0,2.6,,,<10,No,2001,Medicaid
South Dakota,50966.0,2.6,,,<10,No,2002,Medicaid
South Dakota,53420.0,2.8,,,<10,No,2003,Medicaid
South Dakota,54810.0,2.7,,,<10,No,2004,Medicaid
South Dakota,56222.0,3.1,,,<10,No,2005,Medicaid
South Dakota,56658.0,3.3,,,<10,No,2006,Medicaid
South Dakota,57204.0,4.1,,,<10,No,2007,Medicaid
South Dakota,58280.0,4.1,,,<10,No,2008,Medicaid
South Dakota,61406.0,4.1,,,<10,No,2009,Medicaid
South Dakota,64732.0,4.3,,,<10,No,2010,Medicaid
South Dakota,65975.0,4.6,,,<10,No,2011,Medicaid
South Dakota,66939.0,5.1,,,<10,No,2012,Medicaid
South Dakota,66916.0,6.3,,,<10,No,2013,Medicaid
South Dakota,71888.0,8.1,,,<10,No,2016,Medicaid
South Dakota,72253.0,8.9,,,<10,No,2017,Medicaid
South Dakota,71511.0,9.7,,,<10,No,2018,Medicaid
South Dakota,70465.0,11.6,,,10 to <20,No,2019,Medicaid
South Dakota,69148.0,11.9,,,10 to <20,No,2020,Medicaid
South Dakota,73702.0,12.6,,,10 to <20,No,2021,Medicaid
South Dakota,77088.0,13.3,,,10 to <20,No,2022,Medicaid
South Dakota,1513.0,17.2,,,10 to <20,No,2011,National Survey of Children's Health†
South Dakota,2886.0,18.7,,,10 to <20,No,2020,National Survey of Children's Health†
South Dakota,1429.0,19.4,,,10 to <20,No,2022,National Survey of Children's Health†
South Dakota,118489.0,1.7,,,<10,No,2000,Special Education Child Count
South Dakota,117018.0,2.0,,,<10,No,2001,Special Education Child Count
South Dakota,116672.0,2.2,,,<10,No,2002,Special Education Child Count
South Dakota,114204.0,2.6,,,<10,No,2003,Special Education Child Count
South Dakota,112368.0,3.1,,,<10,No,2004,Special Education Child Count
South Dakota,111325.0,3.5,,,<10,No,2005,Special Education Child Count
South Dakota,110296.0,3.9,,,<10,No,2006,Special Education Child Count
South Dakota,110583.0,4.2,,,<10,No,2007,Special Education Child Count
South Dakota,113488.0,4.6,,,<10,No,2008,Special Education Child Count
South Dakota,111786.0,4.9,,,<10,No,2009,Special Education Child Count
South Dakota,113105.0,4.9,,,<10,No,2010,Special Education Child Count
South Dakota,113645.0,5.5,,,<10,No,2011,Special Education Child Count
South Dakota,115453.0,5.9,,,<10,No,2012,Special Education Child Count
South Dakota,116127.0,6.1,,,<10,No,2013,Special Education Child Count
South Dakota,118485.0,6.6,,,<10,No,2014,Special Education Child Count
South Dakota,119401.0,7.9,,,<10,No,2015,Special Education Child Count
South Dakota,121212.0,9.0,,,<10,No,2016,Special Education Child Count
South Dakota,122428.0,10.0,,,10 to <20,No,2017,Special Education Child Count
South Dakota,123449.0,10.3,,,10 to <20,No,2018,Special Education Child Count
South Dakota,124400.0,10.7,,,10 to <20,No,2019,Special Education Child Count
South Dakota,124932.0,11.3,,,10 to <20,No,2020,Special Education Child Count
South Dakota,125717.0,12.4,,,10 to <20,No,2021,Special Education Child Count
South Dakota,126433.0,13.7,,,10 to <20,No,2022,Special Education Child Count
