State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Tennessee,24940.0,15.5,14.1,17.1,10 to <20,Yes,2014,ADDM Network*
Tennessee,25839.0,15.7,14.2,17.3,10 to <20,Yes,2016,ADDM Network*
Tennessee,25237.0,22.7,20.9,24.6,20 to <30,Yes,2018,ADDM Network*
Tennessee,25588.0,27.9,25.9,30.0,20 to <30,Yes,2020,ADDM Network*
Tennessee,26182.0,34.0,31.8,36.2,30+,Yes,2022,ADDM Network*
Tennessee,479157.0,0.9,0.8,1.0,<10,Yes,2000,Medicaid
Tennessee,514766.0,0.8,0.7,0.9,<10,Yes,2001,Medicaid
Tennessee,517306.0,0.8,0.7,0.9,<10,Yes,2002,Medicaid
Tennessee,489562.0,0.8,0.7,0.9,<10,Yes,2003,Medicaid
Tennessee,503828.0,1.5,1.4,1.6,<10,Yes,2004,Medicaid
Tennessee,498939.0,1.9,1.8,2.1,<10,Yes,2005,Medicaid
Tennessee,511277.0,2.4,2.3,2.5,<10,Yes,2006,Medicaid
Tennessee,508780.0,2.9,2.8,3.1,<10,Yes,2007,Medicaid
Tennessee,517279.0,3.5,3.3,3.6,<10,Yes,2008,Medicaid
Tennessee,543490.0,3.9,3.8,4.1,<10,Yes,2009,Medicaid
Tennessee,562799.0,4.8,4.6,5.0,<10,Yes,2010,Medicaid
Tennessee,575393.0,5.4,5.2,5.5,<10,Yes,2011,Medicaid
Tennessee,573290.0,6.2,6.0,6.4,<10,Yes,2012,Medicaid
Tennessee,568636.0,7.1,6.9,7.4,<10,Yes,2013,Medicaid
Tennessee,659837.0,10.2,10.0,10.4,10 to <20,Yes,2016,Medicaid
Tennessee,673488.0,11.1,10.9,11.4,10 to <20,Yes,2017,Medicaid
Tennessee,685285.0,12.3,12.0,12.5,10 to <20,Yes,2018,Medicaid
Tennessee,673284.0,14.4,14.1,14.7,10 to <20,Yes,2019,Medicaid
Tennessee,678052.0,14.0,13.7,14.2,10 to <20,Yes,2020,Medicaid
Tennessee,739361.0,14.9,14.6,15.2,10 to <20,Yes,2021,Medicaid
Tennessee,755434.0,17.2,16.9,17.5,10 to <20,Yes,2022,Medicaid
Tennessee,1579.0,16.6,9.4,29.2,10 to <20,Yes,2011,National Survey of Children's Health†
Tennessee,2741.0,25.3,18.6,34.3,20 to <30,Yes,2020,National Survey of Children's Health†
Tennessee,2299.0,31.0,23.0,41.8,30+,Yes,2022,National Survey of Children's Health†
Tennessee,811052.0,1.1,1.0,1.1,<10,Yes,2000,Special Education Child Count
Tennessee,825081.0,1.2,1.1,1.3,<10,Yes,2001,Special Education Child Count
Tennessee,826056.0,1.5,1.4,1.6,<10,Yes,2002,Special Education Child Count
Tennessee,834500.0,1.9,1.8,1.9,<10,Yes,2003,Special Education Child Count
Tennessee,843716.0,2.3,2.2,2.4,<10,Yes,2004,Special Education Child Count
Tennessee,852932.0,2.6,2.5,2.7,<10,Yes,2005,Special Education Child Count
Tennessee,873891.0,3.1,3.0,3.2,<10,Yes,2006,Special Education Child Count
Tennessee,861550.0,3.8,3.7,3.9,<10,Yes,2007,Special Education Child Count
Tennessee,878930.0,4.3,4.2,4.4,<10,Yes,2008,Special Education Child Count
