State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Virginia,265202.0,1.8,1.6,2.0,<10,Yes,2000,Medicaid
Virginia,260389.0,2.2,2.0,2.4,<10,Yes,2001,Medicaid
Virginia,281133.0,2.6,2.5,2.8,<10,Yes,2002,Medicaid
Virginia,308865.0,2.7,2.6,2.9,<10,Yes,2003,Medicaid
Virginia,338551.0,3.0,2.8,3.2,<10,Yes,2004,Medicaid
Virginia,355302.0,3.4,3.3,3.6,<10,Yes,2005,Medicaid
Virginia,362006.0,4.3,4.1,4.5,<10,Yes,2006,Medicaid
Virginia,360305.0,4.9,4.7,5.1,<10,Yes,2007,Medicaid
Virginia,373772.0,6.3,6.0,6.6,<10,Yes,2008,Medicaid
Virginia,413147.0,7.7,7.4,7.9,<10,Yes,2009,Medicaid
Virginia,451844.0,8.6,8.3,8.9,<10,Yes,2010,Medicaid
Virginia,469296.0,10.0,9.8,10.3,10 to <20,Yes,2011,Medicaid
Virginia,484834.0,12.4,12.1,12.7,10 to <20,Yes,2012,Medicaid
Virginia,496434.0,14.2,13.8,14.5,10 to <20,Yes,2013,Medicaid
Virginia,565009.0,14.9,14.6,15.3,10 to <20,Yes,2016,Medicaid
Virginia,567592.0,15.8,15.5,16.2,10 to <20,Yes,2017,Medicaid
Virginia,576820.0,10.2,9.9,10.4,10 to <20,Yes,2018,Medicaid
Virginia,592353.0,5.7,5.5,5.9,<10,Yes,2019,Medicaid
Virginia,602375.0,21.9,21.5,22.2,20 to <30,Yes,2020,Medicaid
Virginia,649437.0,22.7,22.3,23.0,20 to <30,Yes,2021,Medicaid
Virginia,686627.0,24.2,23.9,24.6,20 to <30,Yes,2022,Medicaid
Virginia,1590.0,12.6,7.5,20.8,10 to <20,Yes,2011,National Survey of Children's Health†
Virginia,3002.0,36.4,27.6,47.9,30+,Yes,2020,National Survey of Children's Health†
Virginia,1398.0,38.4,25.8,56.8,30+,Yes,2022,National Survey of Children's Health†
Virginia,1050633.0,1.8,1.7,1.9,<10,Yes,2000,Special Education Child Count
Virginia,1064202.0,2.1,2.0,2.2,<10,Yes,2001,Special Education Child Count
Virginia,1078396.0,2.6,2.5,2.7,<10,Yes,2002,Special Education Child Count
Virginia,1088822.0,3.0,2.9,3.2,<10,Yes,2003,Special Education Child Count
Virginia,1099140.0,3.6,3.5,3.7,<10,Yes,2004,Special Education Child Count
Virginia,1104321.0,4.3,4.2,4.5,<10,Yes,2005,Special Education Child Count
Virginia,1110405.0,4.9,4.8,5.1,<10,Yes,2006,Special Education Child Count
Virginia,1112517.0,5.8,5.6,5.9,<10,Yes,2007,Special Education Child Count
Virginia,1115877.0,6.6,6.5,6.8,<10,Yes,2008,Special Education Child Count
Virginia,1122459.0,7.6,7.5,7.8,<10,Yes,2009,Special Education Child Count
Virginia,1127720.0,8.9,8.7,9.1,<10,Yes,2010,Special Education Child Count
Virginia,1130504.0,9.9,9.7,10.1,<10,Yes,2011,Special Education Child Count
Virginia,1135632.0,10.9,10.7,11.1,10 to <20,Yes,2012,Special Education Child Count
Virginia,1144601.0,11.7,11.5,11.9,10 to <20,Yes,2013,Special Education Child Count
Virginia,1153689.0,12.5,12.3,12.7,10 to <20,Yes,2014,Special Education Child Count
Virginia,1159195.0,13.3,13.1,13.6,10 to <20,Yes,2015,Special Education Child Count
Virginia,1162945.0,14.2,14.0,14.4,10 to <20,Yes,2016,Special Education Child Count
Virginia,1166843.0,15.2,15.0,15.4,10 to <20,Yes,2017,Special Education Child Count
Virginia,1164560.0,16.4,16.1,16.6,10 to <20,Yes,2018,Special Education Child Count
Virginia,1170232.0,17.2,17.0,17.5,10 to <20,Yes,2019,Special Education Child Count
Virginia,1143070.0,18.6,18.3,18.8,10 to <20,Yes,2020,Special Education Child Count
Virginia,1131371.0,19.5,19.3,19.8,10 to <20,Yes,2021,Special Education Child Count
Virginia,1139821.0,21.0,20.7,21.3,20 to <30,Yes,2022,Special Education Child Count
Virginia,265202.0,1.8,,,<10,No,2000,Medicaid
Virginia,260389.0,2.2,,,<10,No,2001,Medicaid
Virginia,281133.0,2.6,,,<10,No,2002,Medicaid
Virginia,308865.0,2.7,,,<10,No,2003,Medicaid
Virginia,338551.0,3.0,,,<10,No,2004,Medicaid
Virginia,355302.0,3.4,,,<10,No,2005,Medicaid
Virginia,362006.0,4.3,,,<10,No,2006,Medicaid
Virginia,360305.0,4.9,,,<10,No,2007,Medicaid
Virginia,373772.0,6.3,,,<10,No,2008,Medicaid
Virginia,413147.0,7.7,,,<10,No,2009,Medicaid
Virginia,451844.0,8.6,,,<10,No,2010,Medicaid
Virginia,469296.0,10.0,,,10 to <20,No,2011,Medicaid
Virginia,484834.0,12.4,,,10 to <20,No,2012,Medicaid
Virginia,496434.0,14.2,,,10 to <20,No,2013,Medicaid
Virginia,565009.0,14.9,,,10 to <20,No,2016,Medicaid
Virginia,567592.0,15.8,,,10 to <20,No,2017,Medicaid
Virginia,576820.0,10.2,,,10 to <20,No,2018,Medicaid
Virginia,592353.0,5.7,,,<10,No,2019,Medicaid
Virginia,602375.0,21.9,,,20 to <30,No,2020,Medicaid
Virginia,649437.0,22.7,,,20 to <30,No,2021,Medicaid
Virginia,686627.0,24.2,,,20 to <30,No,2022,Medicaid
Virginia,1590.0,12.6,,,10 to <20,No,2011,National Survey of Children's Health†
Virginia,3002.0,36.4,,,30+,No,2020,National Survey of Children's Health†
Virginia,1398.0,38.4,,,30+,No,2022,National Survey of Children's Health†
Virginia,1050633.0,1.8,,,<10,No,2000,Special Education Child Count
Virginia,1064202.0,2.1,,,<10,No,2001,Special Education Child Count
Virginia,1078396.0,2.6,,,<10,No,2002,Special Education Child Count
Virginia,1088822.0,3.0,,,<10,No,2003,Special Education Child Count
Virginia,1099140.0,3.6,,,<10,No,2004,Special Education Child Count
Virginia,1104321.0,4.3,,,<10,No,2005,Special Education Child Count
Virginia,1110405.0,4.9,,,<10,No,2006,Special Education Child Count
Virginia,1112517.0,5.8,,,<10,No,2007,Special Education Child Count
Virginia,1115877.0,6.6,,,<10,No,2008,Special Education Child Count
Virginia,1122459.0,7.6,,,<10,No,2009,Special Education Child Count
Virginia,1127720.0,8.9,,,<10,No,2010,Special Education Child Count
Virginia,1130504.0,9.9,,,<10,No,2011,Special Education Child Count
Virginia,1135632.0,10.9,,,10 to <20,No,2012,Special Education Child Count
Virginia,1144601.0,11.7,,,10 to <20,No,2013,Special Education Child Count
Virginia,1153689.0,12.5,,,10 to <20,No,2014,Special Education Child Count
Virginia,1159195.0,13.3,,,10 to <20,No,2015,Special Education Child Count
Virginia,1162945.0,14.2,,,10 to <20,No,2016,Special Education Child Count
Virginia,1166843.0,15.2,,,10 to <20,No,2017,Special Education Child Count
