State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Washington,421362.0,1.1,1.0,1.2,<10,Yes,2000,Medicaid
Washington,440348.0,1.2,1.1,1.3,<10,Yes,2001,Medicaid
Washington,471773.0,1.4,1.3,1.5,<10,Yes,2002,Medicaid
Washington,493226.0,1.6,1.5,1.7,<10,Yes,2003,Medicaid
Washington,472691.0,1.6,1.5,1.7,<10,Yes,2004,Medicaid
Washington,458571.0,2.2,2.0,2.3,<10,Yes,2005,Medicaid
Washington,469683.0,2.3,2.1,2.4,<10,Yes,2006,Medicaid
Washington,460321.0,2.4,2.3,2.6,<10,Yes,2007,Medicaid
Washington,473998.0,2.4,2.3,2.6,<10,Yes,2008,Medicaid
Washington,519657.0,3.1,2.9,3.2,<10,Yes,2009,Medicaid
Washington,558303.0,4.2,4.0,4.3,<10,Yes,2010,Medicaid
Washington,583289.0,4.7,4.5,4.9,<10,Yes,2011,Medicaid
Washington,594622.0,5.0,4.8,5.1,<10,Yes,2012,Medicaid
Washington,595678.0,5.7,5.5,5.9,<10,Yes,2013,Medicaid
Washington,696357.0,8.0,7.8,8.2,<10,Yes,2016,Medicaid
Washington,709424.0,9.1,8.8,9.3,<10,Yes,2017,Medicaid
Washington,709079.0,10.2,9.9,10.4,10 to <20,Yes,2018,Medicaid
Washington,702647.0,11.4,11.2,11.7,10 to <20,Yes,2019,Medicaid
Washington,698291.0,11.6,11.3,11.8,10 to <20,Yes,2020,Medicaid
Washington,721842.0,12.7,12.4,12.9,10 to <20,Yes,2021,Medicaid
Washington,739147.0,13.8,13.5,14.1,10 to <20,Yes,2022,Medicaid
Washington,1453.0,14.6,8.3,25.4,10 to <20,Yes,2007,National Survey of Children's Health†
Washington,1604.0,21.8,13.7,34.7,20 to <30,Yes,2011,National Survey of Children's Health†
Washington,3029.0,19.9,14.5,27.2,10 to <20,Yes,2020,National Survey of Children's Health†
Washington,1398.0,48.5,34.3,68.2,30+,Yes,2022,National Survey of Children's Health†
Washington,928956.0,1.7,1.6,1.8,<10,Yes,2000,Special Education Child Count
Washington,932818.0,2.0,1.9,2.1,<10,Yes,2001,Special Education Child Count
Washington,935529.0,2.4,2.3,2.5,<10,Yes,2002,Special Education Child Count
Washington,939334.0,2.8,2.7,2.9,<10,Yes,2003,Special Education Child Count
Washington,936865.0,3.4,3.3,3.5,<10,Yes,2004,Special Education Child Count
Washington,946606.0,4.0,3.9,4.2,<10,Yes,2005,Special Education Child Count
Washington,945084.0,4.6,4.5,4.8,<10,Yes,2006,Special Education Child Count
Washington,948070.0,5.3,5.2,5.5,<10,Yes,2007,Special Education Child Count
Washington,952192.0,6.1,5.9,6.2,<10,Yes,2008,Special Education Child Count
Washington,949763.0,6.7,6.6,6.9,<10,Yes,2009,Special Education Child Count
Washington,955799.0,7.5,7.3,7.7,<10,Yes,2010,Special Education Child Count
Washington,955171.0,8.2,8.0,8.4,<10,Yes,2011,Special Education Child Count
Washington,958439.0,8.9,8.7,9.0,<10,Yes,2012,Special Education Child Count
Washington,965420.0,9.4,9.2,9.6,<10,Yes,2013,Special Education Child Count
