State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
West Virginia,23065.0,4.5,3.7,5.5,<10,Yes,2000,ADDM Network*
West Virginia,21472.0,7.1,6.1,8.3,<10,Yes,2002,ADDM Network*
West Virginia,122080.0,4.2,3.9,4.6,<10,Yes,2000,Medicaid
West Virginia,123188.0,5.2,4.9,5.7,<10,Yes,2001,Medicaid
West Virginia,135767.0,5.5,5.1,5.9,<10,Yes,2002,Medicaid
West Virginia,139175.0,5.7,5.3,6.1,<10,Yes,2003,Medicaid
West Virginia,142482.0,6.4,6.0,6.8,<10,Yes,2004,Medicaid
West Virginia,143007.0,7.1,6.7,7.6,<10,Yes,2005,Medicaid
West Virginia,142226.0,7.7,7.3,8.2,<10,Yes,2006,Medicaid
West Virginia,140446.0,8.9,8.4,9.4,<10,Yes,2007,Medicaid
West Virginia,140934.0,10.7,10.1,11.2,10 to <20,Yes,2008,Medicaid
West Virginia,146409.0,10.9,10.4,11.4,10 to <20,Yes,2009,Medicaid
West Virginia,151551.0,11.3,10.8,11.9,10 to <20,Yes,2010,Medicaid
West Virginia,153082.0,11.8,11.3,12.3,10 to <20,Yes,2011,Medicaid
West Virginia,152760.0,13.3,12.7,13.9,10 to <20,Yes,2012,Medicaid
West Virginia,154622.0,13.6,13.0,14.1,10 to <20,Yes,2013,Medicaid
West Virginia,192371.0,13.7,13.1,14.2,10 to <20,Yes,2016,Medicaid
West Virginia,190340.0,13.8,13.3,14.4,10 to <20,Yes,2017,Medicaid
West Virginia,186070.0,13.3,12.8,13.8,10 to <20,Yes,2018,Medicaid
West Virginia,182622.0,12.9,12.4,13.4,10 to <20,Yes,2019,Medicaid
West Virginia,179236.0,14.8,14.3,15.4,10 to <20,Yes,2020,Medicaid
West Virginia,187542.0,15.8,15.3,16.4,10 to <20,Yes,2021,Medicaid
West Virginia,193883.0,17.8,17.2,18.4,10 to <20,Yes,2022,Medicaid
West Virginia,1539.0,26.7,18.5,38.6,20 to <30,Yes,2011,National Survey of Children's Health†
West Virginia,2732.0,27.3,20.4,36.5,20 to <30,Yes,2020,National Survey of Children's Health†
West Virginia,1458.0,39.4,27.4,56.2,30+,Yes,2022,National Survey of Children's Health†
West Virginia,258840.0,1.1,1.0,1.3,<10,Yes,2000,Special Education Child Count
West Virginia,255361.0,1.4,1.2,1.5,<10,Yes,2001,Special Education Child Count
West Virginia,253894.0,1.6,1.4,1.7,<10,Yes,2002,Special Education Child Count
West Virginia,252349.0,1.9,1.7,2.1,<10,Yes,2003,Special Education Child Count
West Virginia,251197.0,2.2,2.1,2.4,<10,Yes,2004,Special Education Child Count
West Virginia,250295.0,2.6,2.4,2.8,<10,Yes,2005,Special Education Child Count
West Virginia,250162.0,3.0,2.7,3.2,<10,Yes,2006,Special Education Child Count
West Virginia,248988.0,3.4,3.2,3.6,<10,Yes,2007,Special Education Child Count
West Virginia,248660.0,3.9,3.7,4.1,<10,Yes,2008,Special Education Child Count
West Virginia,247314.0,4.5,4.2,4.8,<10,Yes,2009,Special Education Child Count
West Virginia,246963.0,5.0,4.7,5.3,<10,Yes,2010,Special Education Child Count
West Virginia,246418.0,5.4,5.1,5.7,<10,Yes,2011,Special Education Child Count
West Virginia,245478.0,5.8,5.5,6.1,<10,Yes,2012,Special Education Child Count
West Virginia,243945.0,6.4,6.1,6.7,<10,Yes,2013,Special Education Child Count
West Virginia,244197.0,6.7,6.4,7.1,<10,Yes,2014,Special Education Child Count
West Virginia,242212.0,7.7,7.4,8.1,<10,Yes,2015,Special Education Child Count
West Virginia,239037.0,8.6,8.3,9.0,<10,Yes,2016,Special Education Child Count
West Virginia,236080.0,9.5,9.1,9.9,<10,Yes,2017,Special Education Child Count
West Virginia,233053.0,10.3,9.9,10.7,10 to <20,Yes,2018,Special Education Child Count
West Virginia,230180.0,11.0,10.6,11.5,10 to <20,Yes,2019,Special Education Child Count
West Virginia,223859.0,12.0,11.6,12.5,10 to <20,Yes,2020,Special Education Child Count
West Virginia,220686.0,13.1,12.7,13.6,10 to <20,Yes,2021,Special Education Child Count
West Virginia,219270.0,14.4,13.9,14.9,10 to <20,Yes,2022,Special Education Child Count
West Virginia,23065.0,4.5,,,<10,No,2000,ADDM Network*
West Virginia,21472.0,7.1,,,<10,No,2002,ADDM Network*
West Virginia,122080.0,4.2,,,<10,No,2000,Medicaid
West Virginia,123188.0,5.2,,,<10,No,2001,Medicaid
West Virginia,135767.0,5.5,,,<10,No,2002,Medicaid
West Virginia,139175.0,5.7,,,<10,No,2003,Medicaid
West Virginia,142482.0,6.4,,,<10,No,2004,Medicaid
West Virginia,143007.0,7.1,,,<10,No,2005,Medicaid
West Virginia,142226.0,7.7,,,<10,No,2006,Medicaid
West Virginia,140446.0,8.9,,,<10,No,2007,Medicaid
West Virginia,140934.0,10.7,,,10 to <20,No,2008,Medicaid
West Virginia,146409.0,10.9,,,10 to <20,No,2009,Medicaid
West Virginia,151551.0,11.3,,,10 to <20,No,2010,Medicaid
West Virginia,153082.0,11.8,,,10 to <20,No,2011,Medicaid
West Virginia,152760.0,13.3,,,10 to <20,No,2012,Medicaid
West Virginia,154622.0,13.6,,,10 to <20,No,2013,Medicaid
West Virginia,192371.0,13.7,,,10 to <20,No,2016,Medicaid
West Virginia,190340.0,13.8,,,10 to <20,No,2017,Medicaid
West Virginia,186070.0,13.3,,,10 to <20,No,2018,Medicaid
West Virginia,182622.0,12.9,,,10 to <20,No,2019,Medicaid
West Virginia,179236.0,14.8,,,10 to <20,No,2020,Medicaid
West Virginia,187542.0,15.8,,,10 to <20,No,2021,Medicaid
West Virginia,193883.0,17.8,,,10 to <20,No,2022,Medicaid
West Virginia,1539.0,26.7,,,20 to <30,No,2011,National Survey of Children's Health†
West Virginia,2732.0,27.3,,,20 to <30,No,2020,National Survey of Children's Health†
West Virginia,1458.0,39.4,,,30+,No,2022,National Survey of Children's Health†
West Virginia,258840.0,1.1,,,<10,No,2000,Special Education Child Count
West Virginia,255361.0,1.4,,,<10,No,2001,Special Education Child Count
West Virginia,253894.0,1.6,,,<10,No,2002,Special Education Child Count
West Virginia,252349.0,1.9,,,<10,No,2003,Special Education Child Count
West Virginia,251197.0,2.2,,,<10,No,2004,Special Education Child Count
West Virginia,250295.0,2.6,,,<10,No,2005,Special Education Child Count
West Virginia,250162.0,3.0,,,<10,No,2006,Special Education Child Count
West Virginia,248988.0,3.4,,,<10,No,2007,Special Education Child Count
West Virginia,248660.0,3.9,,,<10,No,2008,Special Education Child Count
West Virginia,247314.0,4.5,,,<10,No,2009,Special Education Child Count
West Virginia,246963.0,5.0,,,<10,No,2010,Special Education Child Count
West Virginia,246418.0,5.4,,,<10,No,2011,Special Education Child Count
West Virginia,245478.0,5.8,,,<10,No,2012,Special Education Child Count
West Virginia,243945.0,6.4,,,<10,No,2013,Special Education Child Count
West Virginia,244197.0,6.7,,,<10,No,2014,Special Education Child Count
West Virginia,242212.0,7.7,,,<10,No,2015,Special Education Child Count
West Virginia,239037.0,8.6,,,<10,No,2016,Special Education Child Count
West Virginia,236080.0,9.5,,,<10,No,2017,Special Education Child Count
West Virginia,233053.0,10.3,,,10 to <20,No,2018,Special Education Child Count
West Virginia,230180.0,11.0,,,10 to <20,No,2019,Special Education Child Count
West Virginia,223859.0,12.0,,,10 to <20,No,2020,Special Education Child Count
West Virginia,220686.0,13.1,,,10 to <20,No,2021,Special Education Child Count
West Virginia,219270.0,14.4,,,10 to <20,No,2022,Special Education Child Count
