State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Wisconsin,35126.0,5.2,4.5,6.0,<10,Yes,2002,ADDM Network*
Wisconsin,11312.0,7.8,6.3,9.6,<10,Yes,2004,ADDM Network*
Wisconsin,34058.0,7.5,6.7,8.5,<10,Yes,2006,ADDM Network*
Wisconsin,34451.0,7.8,6.9,8.7,<10,Yes,2008,ADDM Network*
Wisconsin,35623.0,9.3,8.3,10.3,<10,Yes,2010,ADDM Network*
Wisconsin,35556.0,10.8,9.8,11.9,10 to <20,Yes,2012,ADDM Network*
Wisconsin,35037.0,14.1,12.9,15.4,10 to <20,Yes,2014,ADDM Network*
Wisconsin,35034.0,16.5,15.2,17.9,10 to <20,Yes,2016,ADDM Network*
Wisconsin,29664.0,18.8,17.3,20.4,10 to <20,Yes,2018,ADDM Network*
Wisconsin,28789.0,28.1,26.2,30.0,20 to <30,Yes,2020,ADDM Network*
Wisconsin,28098.0,38.4,36.2,40.7,30+,Yes,2022,ADDM Network*
Wisconsin,217566.0,5.6,5.3,5.9,<10,Yes,2000,Medicaid
Wisconsin,238280.0,6.2,5.9,6.5,<10,Yes,2001,Medicaid
Wisconsin,266853.0,6.7,6.4,7.0,<10,Yes,2002,Medicaid
Wisconsin,291200.0,7.1,6.8,7.4,<10,Yes,2003,Medicaid
Wisconsin,307314.0,5.1,4.9,5.4,<10,Yes,2004,Medicaid
Wisconsin,316317.0,5.4,5.2,5.7,<10,Yes,2005,Medicaid
Wisconsin,319709.0,5.0,4.8,5.3,<10,Yes,2006,Medicaid
Wisconsin,320361.0,5.4,5.2,5.7,<10,Yes,2007,Medicaid
Wisconsin,327508.0,5.7,5.4,5.9,<10,Yes,2008,Medicaid
Wisconsin,367548.0,5.3,5.0,5.5,<10,Yes,2009,Medicaid
Wisconsin,394238.0,6.1,5.8,6.3,<10,Yes,2010,Medicaid
Wisconsin,408449.0,6.5,6.3,6.8,<10,Yes,2011,Medicaid
Wisconsin,411420.0,7.1,6.8,7.3,<10,Yes,2012,Medicaid
