State,Denominator,"Prevalence Estimates per 1,000 Children",Lower CI,Upper CI,Prevalence Range,Show Lower and Upper CI,Year,Data Set
Alabama,35472,3.3,2.7,3.9,<10,Yes,2002,ADDM Network*
Alabama,11676,4.6,3.5,6,<10,Yes,2004,ADDM Network*
Alabama,35126,6,5.3,6.9,<10,Yes,2006,ADDM Network*
Alabama,36566,4.8,4.1,5.5,<10,Yes,2008,ADDM Network*
Alabama,21833,5.7,4.8,6.8,<10,Yes,2010,ADDM Network*
Alabama,252812,1.5,1.3,1.6,<10,Yes,2000,Medicaid
Alabama,273698,1.6,1.5,1.8,<10,Yes,2001,Medicaid
Alabama,301754,1.8,1.6,1.9,<10,Yes,2002,Medicaid
Alabama,317920,2,1.9,2.2,<10,Yes,2003,Medicaid
Alabama,326144,19.5,19,19.9,10 to <20,Yes,2004,Medicaid
Alabama,330980,19.8,19.4,20.3,10 to <20,Yes,2005,Medicaid
Alabama,326457,20.6,20.1,21.1,20 to <30,Yes,2006,Medicaid
Alabama,321738,21.3,20.8,21.8,20 to <30,Yes,2007,Medicaid
Alabama,327245,20.6,20.1,21.1,20 to <30,Yes,2008,Medicaid
Alabama,353220,18.7,18.3,19.2,10 to <20,Yes,2009,Medicaid
Alabama,389115,17.2,16.8,17.6,10 to <20,Yes,2010,Medicaid
Alabama,414969,16.3,15.9,16.7,10 to <20,Yes,2011,Medicaid
Alabama,429550,15.5,15.1,15.8,10 to <20,Yes,2012,Medicaid
Alabama,429978,14.6,14.2,14.9,10 to <20,Yes,2013,Medicaid
Alabama,548725,13.4,13.1,13.7,10 to <20,Yes,2016,Medicaid
Alabama,550235,13.7,13.3,14,10 to <20,Yes,2017,Medicaid
Alabama,555849,13.1,12.8,13.4,10 to <20,Yes,2018,Medicaid
Alabama,554687,14.7,14.4,15,10 to <20,Yes,2019,Medicaid
Alabama,551943,16.4,16.1,16.8,10 to <20,Yes,2020,Medicaid
Alabama,578377,17.6,17.2,17.9,10 to <20,Yes,2021,Medicaid
Alabama,604691,18.8,18.4,19.1,10 to <20,Yes,2022,Medicaid
Alabama,2855,29.7,21.9,40.2,20 to <30,Yes,2020,National Survey of Children's Health†
Alabama,1306,30.3,21.3,42.8,30+,Yes,2022,National Survey of Children's Health†
Alabama,674044,1.1,1,1.2,<10,Yes,2000,Special Education Child Count
Alabama,671201,1.3,1.2,1.3,<10,Yes,2001,Special Education Child Count
Alabama,674152,1.5,1.4,1.6,<10,Yes,2002,Special Education Child Count
Alabama,672827,1.8,1.7,2,<10,Yes,2003,Special Education Child Count
Alabama,671182,2.2,2.1,2.3,<10,Yes,2004,Special Education Child Count
Alabama,678578,2.6,2.5,2.7,<10,Yes,2005,Special Education Child Count
Alabama,681551,3,2.9,3.1,<10,Yes,2006,Special Education Child Count
Alabama,683355,3.5,3.3,3.6,<10,Yes,2007,Special Education Child Count
Alabama,682993,4.1,3.9,4.3,<10,Yes,2008,Special Education Child Count
Alabama,684096,4.7,4.6,4.9,<10,Yes,2009,Special Education Child Count
Alabama,689708,5.4,5.2,5.6,<10,Yes,2010,Special Education Child Count
Alabama,678737,6.1,5.9,6.3,<10,Yes,2011,Special Education Child Count
Alabama,676177,6.8,6.6,7,<10,Yes,2012,Special Education Child Count
Alabama,677032,7.5,7.3,7.7,<10,Yes,2013,Special Education Child Count
Alabama,675149,8.1,7.9,8.3,<10,Yes,2014,Special Education Child Count
Alabama,674946,8.6,8.4,8.8,<10,Yes,2015,Special Education Child Count
Alabama,674701,9.1,8.9,9.3,<10,Yes,2016,Special Education Child Count
Alabama,671939,9.8,9.6,10,<10,Yes,2017,Special Education Child Count
Alabama,667531,10.4,10.2,10.7,10 to <20,Yes,2018,Special Education Child Count
Alabama,668122,11.2,10.9,11.4,10 to <20,Yes,2019,Special Education Child Count
Alabama,662746,12.3,12.1,12.6,10 to <20,Yes,2020,Special Education Child Count
Alabama,668106,12.9,12.6,13.1,10 to <20,Yes,2021,Special Education Child Count
Alabama,670508,14.4,14.1,14.6,10 to <20,Yes,2022,Special Education Child Count
Alaska,50342,3.3,2.8,3.8,<10,Yes,2000,Medicaid
Alaska,54204,3.6,3.1,4.1,<10,Yes,2001,Medicaid
Alaska,57115,3.9,3.4,4.4,<10,Yes,2002,Medicaid
Alaska,59663,4.2,3.7,4.7,<10,Yes,2003,Medicaid
Alaska,59999,4.4,3.9,5,<10,Yes,2004,Medicaid
Alaska,60366,5.3,4.7,5.9,<10,Yes,2005,Medicaid
Alaska,58451,6.3,5.7,7,<10,Yes,2006,Medicaid
Alaska,55320,7.1,6.5,7.9,<10,Yes,2007,Medicaid
Alaska,55208,7.4,6.7,8.1,<10,Yes,2008,Medicaid
Alaska,57055,8.1,7.4,8.9,<10,Yes,2009,Medicaid
Alaska,62444,9,8.3,9.8,<10,Yes,2010,Medicaid
Alaska,64970,9.7,9,10.5,<10,Yes,2011,Medicaid
Alaska,66294,11.4,10.6,12.2,10 to <20,Yes,2012,Medicaid
Alaska,67016,12.7,11.8,13.5,10 to <20,Yes,2013,Medicaid
Alaska,70198,14.9,14,15.8,10 to <20,Yes,2016,Medicaid
Alaska,75695,14.7,13.8,15.6,10 to <20,Yes,2017,Medicaid
Alaska,79000,16,15.1,16.8,10 to <20,Yes,2018,Medicaid
Alaska,81729,16.6,15.7,17.4,10 to <20,Yes,2019,Medicaid
Alaska,83450,16,15.1,16.8,10 to <20,Yes,2020,Medicaid
Alaska,84741,15.9,15,16.7,10 to <20,Yes,2021,Medicaid
Alaska,86730,16.8,16,17.7,10 to <20,Yes,2022,Medicaid
Alaska,1550,21.5,12.7,35.9,20 to <30,Yes,2011,National Survey of Children's Health†
