State,"Prevalence Estimates per 1,000 Children"
Pennsylvania,38.65
Maine,34.93333333333333
Massachusetts,34.3
Minnesota,33.55
Florida,31.099999999999998
California,30.825
Arizona,28.725
New York,28.633333333333336
Delaware,28.033333333333335
Virginia,27.866666666666664
North Dakota,27.3
New Hampshire,27.099999999999998
Michigan,26.933333333333334
Washington,26.566666666666666
New Jersey,26.35
Wisconsin,26.075
Georgia,25.45
New Mexico,25.099999999999998
Kentucky,24.933333333333337
Connecticut,24.8
Tennessee,24.475
Idaho,24.166666666666668
West Virginia,23.866666666666664
Iowa,23.450000000000003
Arkansas,23.45
Missouri,23.175
Oklahoma,23.099999999999998
Ohio,22.833333333333332
Rhode Island,21.633333333333336
Oregon,21.53333333333333
Alaska,21.400000000000002
South Carolina,21.366666666666664
Puerto Rico,21.266666666666666
Nevada,21.2
Alabama,21.166666666666668
Vermont,21.133333333333333
Louisiana,20.933333333333334
Illinois,20.900000000000002
Indiana,20.8
Maryland,20.75
Colorado,20.7
Utah,20.0
Mississippi,19.833333333333332
District of Columbia,19.666666666666668
Montana,19.633333333333333
Texas,19.25
Wyoming,18.1
Kansas,17.866666666666667
Nebraska,16.833333333333332
North Carolina,16.599999999999998
South Dakota,15.466666666666667
Hawaii,12.833333333333334
