Year,"Prevalence Estimates per 1,000 Children"
2000,2.5333333333333337
2001,2.6294117647058823
2002,3.4163793103448277
2003,3.578301886792453
2004,4.307476635514019
2005,4.388
2006,5.463636363636364
2007,6.820720720720721
2008,7.254385964912281
2009,7.077777777777778
2010,8.309009009009008
2011,11.664084507042253
2012,9.899115044247786
2013,10.261764705882353
2014,11.29672131147541
2015,10.57843137254902
2016,12.648214285714285
2017,12.920408163265307
2018,14.904504504504505
2019,14.857425742574257
2020,20.47530864197531
2021,17.172277227722773
2022,23.952071005917162
